Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Sandown,695589219,3.87,13.81,2.17,0.9,20.75,14433476294,673389470,4.08,0.96,2.06,20.56,27.66,18385151
Sandwich,515762217,3.51,4.21,2.47,1.1,11.29,5822955433,447172191,4.84,1.16,1.87,6.6,14.47,6383290
Sargent's Purchase,3,-3.54,-3.19,2.33,4.4,0.0,0,1888530,-5.06,5.06,1.98,-1.98,0.0,0
Seabrook,3342186841,5.72,4.63,2.66,0.87,13.88,46389553360,2729430350,6.57,0.92,2.07,6.41,15.97,41088692
Second College Grant,1677805,-4.4,-2.43,2.43,4.4,0.0,0,1387570,-4.84,4.84,1.87,-1.87,0.0,0
Sharon,63706772,5.28,9.8,2.5,1.03,18.61,1185583038,57477691,5.09,0.95,1.76,14.8,22.6,1292100
Shelburne,95945014,3.24,5.36,2.17,3.73,14.5,1391202711,82693277,5.02,3.82,1.77,5.13,15.74,1241410
Somersworth,984819579,9.21,13.58,2.42,2.62,27.83,27407528886,1092265002,8.68,2.44,1.94,14.79,27.85,30130510
South Hampton,188532993,2.88,8.69,2.21,0.92,14.7,2771435009,168975237,4.2,0.86,1.85,12.08,18.99,3185883
Springfield,232039132,3.98,10.75,2.36,2.89,19.98,4636141870,236775171,3.83,2.48,1.81,11.46,19.58,4612039
Stark,78326707,5.47,2.43,2.34,4.46,14.7,1151402602,77575747,4.06,4.4,1.95,7.59,18.0,1354214
Stewartstown,142351932,3.51,7.13,2.13,3.38,16.15,2298983702,110037642,3.51,4.55,1.96,13.6,23.62,2540256
Stoddard,330528240,2.42,6.43,2.29,3.24,14.38,4752996104,294311810,3.14,3.7,1.85,7.72,16.41,4832874
Strafford,528728381,2.23,15.53,2.44,2.6,22.8,12055007109,493115100,3.93,3.1,2.32,16.3,25.65,12594461
Stratford,77967025,3.22,13.45,2.92,3.95,23.54,1835343771,77389367,5.28,4.87,2.05,14.73,26.93,2005879
Stratham,1407494754,3.53,12.09,2.33,1.0,18.95,26672025605,1589925354,3.09,0.83,1.81,13.22,18.95,29829290
Success,12826491,-4.43,-2.41,2.42,4.42,0.0,0,12145227,1.45,5.27,2.04,-2.03,6.73,81614
Sugar Hill,174568739,7.67,7.04,2.31,1.61,18.63,3252215620,164798357,9.32,1.71,1.82,8.73,21.58,3530630
Sullivan,65393159,8.85,12.23,2.49,3.26,26.83,1754498459,63293201,5.82,3.61,1.75,15.08,26.26,1645596
Sunapee,1340114747,2.85,5.8,2.4,3.09,14.14,18949222528,1451938388,3.21,2.64,1.89,6.1,13.84,19982941
Surry,97581244,1.75,9.36,2.4,3.44,16.95,1654002092,84913883,2.05,3.82,1.99,20.56,28.42,2384451
Sutton,314188391,6.25,10.28,2.37,2.86,21.76,6836739405,317813376,7.21,2.52,1.86,13.28,24.87,7828125
Swanzey,684087776,4.95,14.75,2.31,3.28,25.29,17300579859,628440073,6.22,3.67,1.92,13.87,25.68,15908532
Tamworth,419217835,3.71,11.54,2.32,1.0,18.57,7784875198,402694551,6.03,1.15,1.84,13.46,22.48,8948177
Temple,179514947,5.18,13.36,2.3,1.1,21.94,3938557946,163177452,5.25,1.01,1.81,16.09,24.16,3928996
Thom. & Mes. Purchase,6377393,-3.33,-2.95,2.65,4.88,1.25,7971742,5372770,-2.58,5.36,2.1,-2.1,2.78,14914
Thornton,435092279,3.64,9.93,2.35,1.39,17.31,7531447354,437034688,4.33,1.61,1.78,12.39,20.11,9085528
Tilton,601456057,6.7,7.89,2.47,1.34,18.4,11066791449,633007168,6.0,1.12,1.86,9.49,18.47,12953227
Troy,150129944,7.5,15.18,2.49,3.13,28.3,4248677433,130653578,10.34,4.08,1.93,11.91,28.26,3615179
Tuftonboro,1199343752,2.02,3.29,2.4,1.0,8.71,10446284080,1210587908,3.22,1.13,1.78,3.43,9.56,11444603
Unity,155464299,5.37,10.67,2.3,2.86,21.2,3295843157,134383616,10.33,2.54,2.01,12.9,27.78,3669448
Wakefield,1064155910,2.95,5.57,2.48,0.97,11.97,12737946245,1133081873,3.29,1.22,1.9,5.97,12.38,13702984
Walpole,521505645,4.03,9.59,2.32,3.03,18.97,9892962096,436364198,5.13,3.67,1.9,14.96,25.66,11758680
Warner,328444851,8.6,11.21,2.42,2.74,24.97,8201267933,322486639,9.67,2.44,2.05,14.24,28.4,9203853
Warren,92131027,4.82,11.67,2.59,1.54,20.62,1899741788,83240239,5.73,1.79,2.03,13.53,23.08,1865984
Washington,294254954,4.54,6.41,2.24,2.73,15.92,4684538873,242750936,7.44,2.9,1.97,8.78,21.09,5120965
Waterville Valley,423319816,7.19,0.19,2.33,1.49,11.2,4741181945,333091095,9.09,1.65,1.99,1.52,14.25,4733309
Weare,933634839,3.26,13.9,2.34,1.1,20.6,19232877686,889309808,4.79,1.16,2.12,15.88,23.95,21029763
Webster,270959293,4.11,9.0,2.17,2.36,17.64,4779721942,237403882,6.11,2.64,1.91,11.53,22.19,5343676
Wentworth,104378935,5.67,11.23,2.43,1.45,20.78,2168994270,98339738,8.47,1.89,2.17,13.23,25.76,2466325
Wentworth Location,10911171,-0.65,2.48,2.36,4.38,8.57,93508743,7697890,2.2,5.0,1.96,-1.93,7.23,55399
Westmoreland,203986472,3.26,11.13,2.62,3.46,20.47,4175603082,166370954,3.87,4.03,2.0,15.5,25.4,4205692
Whitefield,244544168,6.85,7.25,2.33,3.82,20.25,4952019416,232206465,9.05,4.56,1.73,10.88,26.22,5988284
Wilmot,209095106,5.12,10.82,2.62,2.72,21.28,4449543860,220362922,6.0,2.42,1.75,10.97,21.14,4618960
Wilton,429839600,7.48,14.37,2.48,1.12,25.45,10939417834,377943924,8.7,1.25,2.18,17.26,29.39,11018847
Winchester,330630545,7.18,17.5,2.11,3.24,30.03,9928835287,333847858,7.09,3.15,1.68,16.85,28.77,9436256
Windham,2369279682,3.79,15.77,2.46,1.06,23.08,54682975081,3059617070,2.99,0.85,1.84,13.45,19.13,58209101
Windsor,26781515,0.91,8.81,3.57,1.19,14.48,387796341,28777018,0.42,0.94,2.03,6.42,9.81,276423
Wolfeboro,2396720664,4.46,4.39,2.34,1.01,12.2,29239992100,2372868648,5.26,1.11,1.82,4.82,13.01,30640521
Woodstock,274364529,7.02,6.24,2.47,1.59,17.32,4751993653,286958960,9.77,1.74,1.86,6.58,19.95,5662249
