Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Colebrook,222367055,6.93,8.7,2.11,3.96,21.7,4825365094,186958181,11.6,4.48,1.79,9.91,27.78,5298482
Columbia,99687658,1.78,8.22,2.57,3.97,16.54,1648833873,92049091,2.28,5.15,1.95,6.69,16.07,1419244
Concord,4313794119,8.72,10.39,2.59,2.9,24.6,106119335341,4632801359,9.32,2.44,1.87,13.13,26.76,124727581
Conway,1625632240,4.91,8.7,2.54,1.05,17.2,27960874528,1750988000,4.63,1.2,1.95,8.54,16.32,31210908
Cornish,217636549,2.59,11.65,2.22,2.88,19.34,4209090870,197023472,3.94,2.61,1.88,12.86,21.29,4144024
Crawford's Purchase,190074,-2.97,-3.77,2.33,4.41,0.0,0,235430,-4.99,4.95,1.93,-1.89,0.0,-12
Croydon,110236708,2.41,5.09,2.45,3.0,12.95,1427565375,112835862,4.15,2.27,1.64,5.9,13.96,1558920
Cutt's Grant,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
Dalton,109227465,4.54,7.63,2.42,3.99,18.58,2029446306,83475269,3.96,5.57,2.13,12.47,24.13,1961304
Danbury,127332450,5.1,14.39,2.88,3.09,25.46,3241884181,111722635,7.37,3.0,2.06,11.57,24.0,2646519
Danville,382208432,5.26,18.88,2.65,1.05,27.84,10640682763,417218397,5.08,0.98,2.16,18.08,26.3,10772808
Deerfield,625538529,3.77,14.48,2.26,0.94,21.45,13417801462,746052291,3.86,0.82,1.71,13.28,19.67,14319387
Deering,232394175,7.61,15.02,2.43,1.1,26.16,6079431618,239002940,6.8,0.96,1.75,15.3,24.81,5855698
Derry,2908617769,9.52,14.22,2.49,1.04,27.27,79318006587,3555437130,7.15,0.86,1.88,14.45,24.34,85908484
Dix Grant,1083520,-4.4,-2.65,2.65,4.4,0.0,0,1000284,-4.91,4.91,1.9,-1.9,0.0,0
Dixville,19528686,-0.84,-2.87,2.36,4.39,3.04,59367206,8448784,-9.95,16.53,1.83,-1.81,6.6,55527
Dorchester,47855865,8.07,8.85,2.24,1.44,20.6,985830825,44932083,7.55,1.63,1.76,9.92,20.86,927850
Dover,3033349722,9.54,10.26,2.5,2.82,25.12,76197745016,3814134750,9.19,2.51,1.93,11.22,24.85,93714678
Dublin,300254701,5.71,11.23,2.32,3.28,22.54,6767740971,273686586,5.81,3.5,1.92,13.4,24.63,6665686
Dummer,64360180,3.7,9.39,2.32,3.7,19.11,1229923043,99118420,4.81,3.95,1.73,5.84,16.33,1499458
Dunbarton,356950129,3.7,12.66,2.45,2.63,21.44,7653010782,394363018,3.8,2.63,1.88,13.97,22.28,8673051
Durham,1050861437,7.57,15.69,2.33,2.61,28.2,29634292543,1230868663,7.79,2.57,2.0,15.37,27.73,33875015
East Kingston,350065936,5.87,14.04,2.29,0.99,23.19,8118029063,400375027,4.91,0.84,1.9,14.75,22.4,8844592
Easton,76900656,1.42,5.59,2.34,1.48,10.83,832834111,75921478,1.4,1.66,1.86,6.94,11.86,895026
Eaton,120857607,4.03,3.83,2.48,1.02,11.36,1372942415,114582083,5.77,1.13,2.01,5.35,14.26,1609699
Effingham,211587635,5.92,9.82,2.43,0.99,19.16,4054019098,210314816,8.81,1.07,1.66,9.71,21.25,4418653
Ellsworth,15828099,3.75,5.61,2.45,1.53,13.34,211146844,19448628,3.34,1.48,1.51,8.73,15.06,291315
Enfield,636948506,5.95,10.64,2.52,1.5,20.61,13127508721,582669034,7.1,1.78,2.0,14.57,25.45,14766670
Epping,723548124,4.54,16.34,2.36,1.03,24.27,17560512969,926700300,5.4,0.87,1.93,15.44,23.64,21545720
Epsom,474454601,4.4,12.22,2.24,2.79,21.65,10271942111,507757821,3.95,2.49,1.91,13.48,21.83,10904872
Errol,100489878,0.67,3.14,2.47,4.22,10.5,1055143723,90067236,3.41,4.33,1.94,3.57,13.25,1172652
