Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Wakefield,1245062414.6999998,2.95,5.57,2.48,0.97,11.97,14903397103.958998,1133081873,3.29,1.22,1.9,5.97,12.38,13702984
Walpole,610161604.65,4.03,9.59,2.32,3.03,18.97,11574765640.210499,436364198,5.13,3.67,1.9,14.96,25.66,11758680
Warner,384280475.66999996,8.6,11.21,2.42,2.74,24.97,9595483477.479898,322486639,9.67,2.44,2.05,14.24,28.4,9203853
Warren,107793301.58999999,4.82,11.67,2.59,1.54,20.62,2222697878.7858,83240239,5.73,1.79,2.03,13.53,23.08,1865984
Washington,344278296.18,4.54,6.41,2.24,2.73,15.92,5480910475.1856,242750936,7.44,2.9,1.97,8.78,21.09,5120965
Waterville Valley,495284184.71999997,7.19,0.19,2.33,1.49,11.2,5547182868.863999,333091095,9.09,1.65,1.99,1.52,14.25,4733309
Weare,1092352761.6299999,3.26,13.9,2.34,1.1,20.6,22502466889.578,889309808,4.79,1.16,2.12,15.88,23.95,21029763
Webster,317022372.81,4.11,9.0,2.17,2.36,17.64,5592274656.368401,237403882,6.11,2.64,1.91,11.53,22.19,5343676
Wentworth,122123353.94999999,5.67,11.23,2.43,1.45,20.78,2537723295.081,98339738,8.47,1.89,2.17,13.23,25.76,2466325
Wentworth Location,12766070.069999998,-0.65,2.48,2.36,4.38,8.57,109405220.49989998,7697890,2.2,5.0,1.96,-1.93,7.23,55399
Westmoreland,238664172.23999998,3.26,11.13,2.62,3.46,20.47,4885455605.752799,166370954,3.87,4.03,2.0,15.5,25.4,4205692
Whitefield,286116676.56,6.85,7.25,2.33,3.82,20.25,5793862700.34,232206465,9.05,4.56,1.73,10.88,26.22,5988284
Wilmot,244641274.01999998,5.12,10.82,2.62,2.72,21.28,5205966311.1456,220362922,6.0,2.42,1.75,10.97,21.14,4618960
Wilton,502912331.99999994,7.48,14.37,2.48,1.12,25.45,12799118849.399998,377943924,8.7,1.25,2.18,17.26,29.39,11018847
Winchester,386837737.65,7.18,17.5,2.11,3.24,30.03,11616737261.6295,333847858,7.09,3.15,1.68,16.85,28.77,9436256
Windham,2772057227.94,3.79,15.77,2.46,1.06,23.08,63979080820.855194,3059617070,2.99,0.85,1.84,13.45,19.13,58209101
Windsor,31334372.549999997,0.91,8.81,3.57,1.19,14.48,453721714.524,28777018,0.42,0.94,2.03,6.42,9.81,276423
Wolfeboro,2804163176.8799996,4.46,4.39,2.34,1.01,12.2,34210790757.935993,2372868648,5.26,1.11,1.82,4.82,13.01,30640521
Woodstock,321006498.93,7.02,6.24,2.47,1.59,17.32,5559832561.4676,286958960,9.77,1.74,1.86,6.58,19.95,5662249
