Town,Valuation 2011,Town Tax 2011,Local Ed. Tax 2011,State Ed. Tax 2011,County Tax 2011,Total Tax 2011,Total Commitment 2011,Valuation 2020,Town Tax 2020,County Tax 2020,State Ed. Tax 2020,Local Ed. Tax 2020,Total Tax 2020,Total Commitment 2020
Grafton,175649535.35999998,4.52,9.65,2.31,1.45,17.93,3149396169.0048,141067659,6.3,1.62,1.74,17.19,26.85,3734693
Grantham,699140966.9399999,3.18,10.76,2.48,2.88,19.3,13493420661.942,540575946,5.17,2.64,1.89,13.76,23.46,13212045
Green's Grant,5605799.9399999995,2.65,-2.67,2.38,4.47,6.83,38287613.5902,8057510,0.12,4.99,1.41,-1.39,5.13,41161
Greenfield,216197460.17999998,6.38,11.19,2.26,1.09,20.92,4522850866.9656,170277305,8.5,1.06,1.96,15.63,27.15,4596602
Greenland,915188945.5799999,2.98,7.56,2.2,1.01,13.75,12583848001.724998,872818300,4.03,0.91,2.0,9.64,16.58,14212852
Greenville,186628495.95,11.3,6.18,2.23,0.88,20.59,3842680731.6105,120335069,12.52,1.0,1.93,7.72,23.17,2705821
Groton,102304899.44999999,3.87,4.73,2.4,1.24,12.24,1252211969.268,83358715,3.81,2.6,3.79,7.96,18.16,1446059
Hadley's Purchase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
Hale's Location,101325841.11,2.08,-2.0,2.33,0.95,3.36,340454826.1296,80524100,2.45,1.14,1.93,-1.92,3.6,278208
Hampstead,1353673395.36,3.3,15.58,2.36,1.04,22.28,30159843248.6208,1331881653,2.87,0.87,1.92,15.89,21.55,28296660
Hampton,3718431364.0499997,7.13,7.18,2.55,1.07,17.93,66671474357.4165,3790515423,5.92,0.89,2.0,7.12,15.93,59743835
Hampton Falls,589493375.64,4.15,11.57,2.22,1.02,18.96,11176794402.1344,488152802,3.44,0.94,2.02,14.95,21.35,10341992
Hancock,330961725.9,5.26,11.38,2.45,1.16,20.25,6701974949.474999,250769628,7.6,1.14,2.01,15.47,26.22,6515772
Hanover,2703255945.39,4.0,8.95,2.37,1.47,16.79,45387667323.0981,2300746395,4.44,1.81,2.03,10.4,18.68,46282208
Harrisville,289905585.84,3.96,4.99,2.34,3.31,14.6,4232621553.2639995,207756836,5.08,3.78,1.92,6.9,17.68,3662148
Hart's Location,21541284.18,0.66,4.71,2.55,1.06,8.98,193440731.9364,20706153,0.5,1.06,1.62,3.82,7.0,143912
Haverhill,481919832.80999994,5.18,14.74,2.52,1.35,23.79,11464872822.549898,347781001,7.89,1.83,2.01,16.68,28.41,10238624
Hebron,357440566.85999995,3.04,0.72,2.45,1.52,7.73,2763015581.8278,268527765,4.46,1.97,2.28,0.89,9.6,2617223
Henniker,526488607.71,7.24,17.31,2.54,2.91,30.0,15794658231.3,471798273,9.94,2.56,1.99,16.75,31.24,14673499
Hill,146637059.4,4.94,9.18,2.45,2.44,19.01,2787570499.1940002,94560552,6.17,2.53,1.88,15.11,25.69,2401551
Hillsborough,827754796.4399999,7.88,12.14,2.07,0.88,22.97,19013527674.2268,594882788,10.68,1.02,1.81,15.22,28.73,17051769
Hinsdale,506469851.54999995,8.83,12.09,2.17,2.91,26.0,13168216140.3,345539419,8.15,4.17,2.11,19.72,34.15,11482952
Holderness,945137023.7399999,2.43,6.96,2.3,1.47,13.16,12438003232.418398,759486515,2.39,1.87,1.98,7.34,13.58,10231434
Hollis,1700268021.27,5.58,11.9,2.33,1.1,20.91,35552604324.7557,1387997343,5.54,1.13,2.02,14.49,23.18,31953746
Hooksett,2230416495.45,6.16,10.49,2.36,2.67,21.68,48355429621.355995,2047885829,5.63,2.95,2.0,11.93,22.51,45613526
Hopkinton,885749202.0,5.06,17.17,2.43,2.88,27.54,24393533023.079998,780889991,6.25,2.57,1.84,18.59,29.25,22865155
Hudson,3982672822.0499997,5.18,8.35,2.11,0.98,16.62,66192022302.471,3179000329,6.14,1.15,2.08,12.0,21.37,66960741
Jackson,527769220.67999995,3.45,3.48,2.32,1.0,10.25,5409634511.969999,465927736,4.5,1.16,1.7,3.63,10.99,5403073
Jaffrey,618566232.9599999,8.32,13.33,2.42,3.3,27.37,16930157796.115198,520726640,9.54,3.69,2.05,12.25,27.53,14164921
Jefferson,168867069.92999998,1.9,9.09,2.59,4.92,18.5,3124040793.7049994,130138470,2.19,5.02,2.11,13.23,22.55,2910115
Keene,2547433921.5,11.78,13.32,2.37,3.35,30.82,78511913460.63,1849704064,14.81,3.86,2.07,16.54,37.28,68437022
Kensington,472506583.77,2.61,13.1,2.21,0.95,18.87,8916199235.7399,392294316,3.67,0.88,1.94,14.06,20.55,7995148
Kilkenny,16079.31,-4.34,0.0,0.0,4.34,0.0,0.0,19000,-3.05,3.05,0.0,0.0,0.0,0
Kingston,970194945.3299999,3.73,13.93,2.13,0.93,20.72,20102439267.2376,849502794,3.88,0.9,1.94,14.16,20.88,17483670
Laconia,2559921302.25,8.14,8.41,2.55,1.46,20.56,52631981974.259995,2382861491,7.65,1.21,1.92,8.94,19.72,46463006
Lancaster,389876462.82,7.29,5.02,2.21,4.01,18.53,7224410856.054601,279190339,9.73,4.68,1.89,8.44,24.74,6847718
Landaff,69767545.77,5.27,8.24,2.29,1.49,17.29,1206280866.3632998,51315582,6.74,1.81,1.95,12.64,23.14,1176666
Langdon,82323742.41,6.66,12.95,2.43,2.95,24.99,2057270322.8258998,58110552,5.82,2.72,2.02,16.38,26.94,1541590
Lebanon,2514372838.3799996,9.15,11.29,2.34,1.54,24.32,61149547429.40159,2237505225,9.96,1.86,1.99,13.28,27.09,60294391
Lee,559093611.9599999,7.03,17.91,2.51,2.67,30.12,16839899592.235199,466532552,6.62,3.12,2.32,19.8,31.86,14749666
Lempster,227109445.29,5.45,9.09,2.42,3.0,19.96,4533104527.9884,126595269,3.98,3.17,2.28,15.41,24.84,3109116
